estabelecimento ; 79140201 ; 33014556058003 ; LOJAS AMERICANAS S.A - #054


pafecf ; 56955 ; PRISMA ; 4028 ; 54517628000198 ; LINX SISTEMAS E CONSULTORIA LTDA.


dadosestoque ; 2017-06-01 ; 2017-06-30


produto ; PASTA EM L PAPEL DECORADA COM BOLSO INT ; 124959838672 ; 2020202 ; 49119100 ; 124959838672 ; 100,000 ; 100,000 ; PCE ; 2,49 ; 249,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 18,00 ; true ; Terceiros ; Positivo


produto ; BD ANDRE RIEU AT SCHONBRUNN ; 602517790520 ; 2020202 ; 85234910 ; 602517790520 ; 100,000 ; 100,000 ; PCE ; 79,99 ; 7999,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 18,00 ; true ; Terceiros ; Positivo


produto ; BD ZECA PAGODINHO UMA PROVA DE AMOR ; 602527204888 ; 2020202 ; 85234990 ; 602527204888 ; 100,000 ; 100,000 ; PCE ; 59,99 ; 5999,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 20,00 ; true ; Terceiros ; Positivo


produto ; BD U2 360 LIVE AT THE ROSE BOWL ; 602527355238 ; 2020202 ; 85234990 ; 602527355238 ; 100,000 ; 100,000 ; PCE ; 54,99 ; 5499,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 18,00 ; true ; Terceiros ; Positivo


produto ; BD ANDRE RIEU UNDER THE STARS ; 602537007974 ; 2020202 ; 85234910 ; 602537007974 ; 100,000 ; 100,000 ; PCE ; 79,99 ; 7999,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 18,00 ; true ; Terceiros ; Positivo


produto ; BD ANDRE RIEU HOME FOR CHRISTMAS ; 602537123339 ; 2020202 ; 85234990 ; 602537123339 ; 100,000 ; 100,000 ; PCE ; 79,99 ; 7999,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 18,00 ; true ; Terceiros ; Positivo


produto ; DVD GAL COSTA RECANTO AO VIVO ; 602537269112 ; 2020202 ; 85234990 ; 602537269112 ; 100,000 ; 100,000 ; PCE ; 34,99 ; 3499,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 20,00 ; true ; Terceiros ; Positivo


produto ; CD SAMBA SOCIAL CLUBE VOL 6 CHICO BUARQ ; 602537787890 ; 2020202 ; 85234990 ; 602537787890 ; 100,000 ; 100,000 ; PCE ; 19,99 ; 1999,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 18,00 ; true ; Terceiros ; Positivo


produto ; DVD SAMBA SOCIAL CLUBE VOL 6 CHICO BUARQ ; 602537788019 ; 2020202 ; 85234990 ; 602537788019 ; 100,000 ; 100,000 ; PCE ; 29,99 ; 2999,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 18,00 ; true ; Terceiros ; Positivo


produto ; DVD PARALAMAS DO SUCESSO MULTISH 30 ANOS ; 602537850976 ; 2020202 ; 85234990 ; 602537850976 ; 100,000 ; 100,000 ; PCE ; 39,99 ; 3999,00 ; 100,00 ;  ;  ; Tributado pelo ICMS ; 20,00 ; true ; Terceiros ; Positivo


